Year,Month,Day,Hour,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2012,1,1,0,0,-5,11.9766455659,991.9884033203,29.7026146575,83.6444244385,1.948964119
2012,1,1,1,0,-5,11.4754322783,991.8803100586,30.7971152502,85.9110641479,1.9014669657
2012,1,1,2,0,-5,11.0152362275,991.4733276367,31.7460325915,86.1516799927,1.8702254295
2012,1,1,3,0,-5,10.5371320823,990.9627075195,32.6687355539,83.9377822876,1.7364697456
2012,1,1,4,0,-5,10.1024814298,991.1348876953,33.5954771655,78.7093048096,1.4495068789
2012,1,1,5,0,-4,9.2197162112,995.4672241211,38.5890289127,14.5569000244,4.3851575851
2012,1,1,6,0,-4,8.7327670724,995.913269043,37.587812992,15.9362335205,4.2358202934
2012,1,1,7,0,-5,9.0137073157,996.3604736328,36.630054352,15.7792663574,4.0984883308
2012,1,1,8,110,-4,11.3778841663,997.2366943359,31.9385360137,17.4115600586,3.8135025501
2012,1,1,9,306,-4,13.83006662,997.9819335938,28.2777370815,19.0004653931,3.3407702446
2012,1,1,10,469,-1,16.9130137229,998.1758422852,27.611243863,18.593460083,3.1589953899
2012,1,1,11,591,-4,20.1816237512,997.4140625,19.1031426662,19.5951385498,4.0348134041
2012,1,1,12,648,-5,21.4795233733,996.1787109375,16.4496747063,21.058807373,4.1860847473
2012,1,1,13,637,-5,21.7614785432,995.6583251953,15.8226644513,23.4161376953,4.1488614082
2012,1,1,14,558,-5,21.3475028071,994.8016357422,15.819333077,24.19115448,4.0143828392
2012,1,1,15,420,-6,20.2000193686,994.2116699219,16.3777022033,24.511932373,3.7669699192
2012,1,1,16,242,-4,18.0706244991,994.3898925781,21.5987611499,24.4236450195,3.3351902962
2012,1,1,17,33,-2,15.3254825809,994.5729980469,29.0241499025,24.3121337891,2.933426857
2012,1,1,18,0,-2,14.3160295346,994.8010864258,30.3508765662,24.3020324707,2.5400211811
2012,1,1,19,0,-3,13.5708972533,995.1596069336,30.6853839332,23.5663986206,2.102399826
2012,1,1,20,0,-4,12.8808064762,995.3806762695,29.4769648114,23.8852310181,1.6943824291
2012,1,1,21,0,-4,12.2579690468,995.6414794922,31.029204866,22.2423171997,1.3706173897
2012,1,1,22,0,-5,11.6774941912,995.7404174805,29.2987270711,19.6281356812,1.1306424141
2012,1,1,23,0,-5,11.1277270775,995.5837402344,31.1547930589,22.3664550781,0.9614672065
2012,1,2,0,0,-6,10.6052124806,995.4321899414,28.877259624,32.4930496216,0.8684824109
2012,1,2,1,0,-5,10.1106853836,995.2967529297,32.206220585,43.5942230225,0.8891755342
2012,1,2,2,0,-7,9.6420905162,995.0647583008,29.0527555139,44.4820556641,0.8981360793
2012,1,2,3,0,-6,9.2124241891,994.9929199219,32.8918201009,43.9055290222,0.8449631929
2012,1,2,4,0,-7,8.8178270562,995.0130004883,30.3589131347,54.884979248,0.772859931
2012,1,2,5,0,-6,8.4715694476,995.0804443359,33.4584853242,78.58253479,0.7091215849
2012,1,2,6,0,-7,8.1750445687,995.4614868164,31.9023977097,103.0488586426,0.6094126105
2012,1,2,7,0,-5,8.7908808804,996.1677246094,35.2681698768,133.7405090332,0.4432993531
2012,1,2,8,109,-2,12.0623395237,997.1172485352,35.5722962725,148.8946533203,0.4455119371
2012,1,2,9,299,-2,14.7125447507,997.9971923828,29.5200211109,145.9388885498,0.4271723032
2012,1,2,10,469,0,17.7637657728,998.0634765625,28.9736008709,140.2275390625,0.3440424204
2012,1,2,11,583,0,21.4392416554,997.1420898438,23.1598008298,123.2388763428,0.0928634927
2012,1,2,12,640,-1,23.5335400671,996.1485595703,18.9961666198,30.8891830444,0.0522898063
2012,1,2,13,639,-1,23.9281825027,995.1737060547,17.9900891655,57.1761894226,0.1691537946
2012,1,2,14,560,-2,23.3712315832,994.4649658203,17.8088440234,63.1353149414,0.3021484911
2012,1,2,15,415,-2,21.9236309079,993.9319458008,18.7148030857,62.303527832,0.4087889194
2012,1,2,16,245,0,19.4681039664,994.1547241211,27.7332939347,50.1233139038,0.503237009
2012,1,2,17,35,1,17.0269666254,994.4130859375,34.5374369982,32.7101554871,0.6079559922
2012,1,2,18,0,-2,16.0751387874,995.3348999023,27.0798099253,23.6526565552,0.6951637268
2012,1,2,19,0,-2,15.3140837291,995.7557373047,29.4871001362,24.6819763184,0.7362552881
2012,1,2,20,0,-3,14.6090737144,996.2237548828,28.1714451595,39.1012954712,0.8688973188
2012,1,2,21,0,-3,13.959514137,996.2321166992,30.0308042937,51.8311080933,1.0334635973
2012,1,2,22,0,-4,13.3488795635,996.1218261719,28.3122703888,60.4342269897,1.197098732
2012,1,2,23,0,-3,12.7521144212,995.3728027344,32.0102900596,69.3969039917,1.4468750954
2012,1,3,0,0,-4,12.1904525272,994.2919921875,31.6336961797,78.2279815674,1.7888096571
2012,1,3,1,0,-4,11.6793200286,993.9981079102,31.234046072,82.808052063,2.0351881981
2012,1,3,2,0,-4,11.2223713208,993.5518798828,32.5012330382,81.7336349487,2.1242809296
2012,1,3,3,0,-5,10.8005949298,993.4808959961,31.125471354,77.9972839355,2.2090165615
2012,1,3,4,0,-5,10.4178694689,993.290222168,31.2565028068,75.8653793335,2.3318510056
2012,1,3,5,0,-6,10.0757208169,993.7147216797,30.6321079,76.5043563843,2.4107880592
