Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2013,1,1,0,30,0,0,0,-19,7.6846474884,992.8681640625,12.3970225233,14.3954238892,4.262360096
2013,1,1,1,30,0,0,0,-19,7.1559068584,992.7445068359,13.081666528,22.0604629517,4.2047219276
2013,1,1,2,30,0,0,0,-18,6.6620706824,992.1726074219,14.0368453178,28.5806465149,3.9101467133
2013,1,1,3,30,0,0,0,-18,6.1897853397,991.7896728516,15.2618085678,33.8470153809,3.4506881237
2013,1,1,4,30,0,0,0,-17,5.7941745776,991.8279418945,16.7024136727,36.6203041077,2.9618785381
2013,1,1,5,30,0,0,0,-7,8.925115148,984.9295654297,30.5233086403,134.756439209,1.3988064528
2013,1,1,6,30,0,0,0,-7,8.3576470025,985.4865112305,31.4964060958,144.2188720703,1.5546147823
2013,1,1,7,30,0,0,0,-7,9.1426763515,985.9176635742,30.0223937633,154.1721801758,1.772834301
2013,1,1,8,30,87,243,134,-6,11.8884389778,986.6379394531,27.5189097252,160.9093933105,1.9554649591
2013,1,1,9,30,137,510,323,-6,14.186841272,987.1750488281,24.2069989503,166.5725402832,1.6801583767
2013,1,1,10,30,169,614,477,-4,17.088439655,987.3379516602,22.0172336829,177.7970275879,1.1180388927
2013,1,1,11,30,198,631,571,-4,19.8728202286,986.5740356445,18.727908431,238.1987762451,0.6394639611
2013,1,1,12,30,214,640,616,-4,21.0269852125,985.8955078125,17.3243416623,287.3430480957,0.7125011683
2013,1,1,13,30,227,549,562,-5,21.3569721815,985.0045166016,16.4592142748,319.1366271973,0.8287599683
2013,1,1,14,30,205,531,491,-5,20.819839271,984.9135742188,16.2209969209,343.6202087402,1.0637198687
2013,1,1,15,30,167,497,375,-6,19.5427637973,985.3819580078,16.7751759581,3.1438751221,1.5112924576
2013,1,1,16,30,112,293,187,-5,17.0505333326,985.8812255859,20.3242072228,18.2935333252,2.0660097599
2013,1,1,17,30,6,0,6,-6,14.5373593351,986.1810913086,22.6996551422,31.697052002,2.5828661919
2013,1,1,18,30,0,0,0,-6,13.693084153,986.9690551758,23.5526849161,40.5018730164,2.8817484379
